title,date,wordcount,comments,interactions,images,videos,tags,category,time_since_posted,popularity_score
Nên mua sạc dự phòng có dây hay không dây,"Thứ sáu, 31/1/2025, 05:00 (GMT+7)",147.0,2.637210047541738,5.164897954663567,1.0,0.0,"tư vấn, sạc dự phòng",7,1855.0,0.01286452975582578
Phong cách DeepSeek 'tương đồng đáng kinh ngạc' với ChatGPT,"Thứ ba, 4/3/2025, 11:33 (GMT+7)",847.0,4.224532735474765,8.785430745730714,1.0,0.0,DeepSeek,7,1080.45,0.06907094532012845
Những lưu ý khi chọn mua máy hút ẩm,"Chủ nhật, 2/3/2025, 10:00 (GMT+7)",77.0,2.788682474772222,4.142622583293403,0.0,0.07622030184054507,"kinh nghiệm, tư vấn, máy hút ẩm, công nghệ ngưng tụ",7,1130.0,0.014788140264192505
"Giải pháp xử lý sự cố, điều tra số cho doanh nghiệp từ VSEC","Thứ năm, 6/2/2025, 09:00 (GMT+7)",569.0,0.0,0.0,2.0,0.0,"VSEC, Quy trình DFIR, điều tra số",7,1707.0,0.0
Trường Đại học FPT bắt tay trường top đầu tại thủ phủ bán dẫn,"Thứ bảy, 18/1/2025, 07:06 (GMT+7)",737.0,1.407223424814969,4.708118142480791,1.0,0.0,"FPT, Đại học FPT, Bán dẫn, Đại học Á Châu",7,1923.4062499999995,0.006843317048102388
Những công việc đời thực đầu tiên của robot hình người,"Thứ năm, 27/2/2025, 15:13 (GMT+7)",1032.0,4.224532735474765,8.22418445313471,0.0,0.0,Robot hình người,7,1196.7833333333333,0.06447356736510364
Gói cước 5G tại Việt Nam thấp nhất 10.000 đồng,"Thứ hai, 10/3/2025, 12:37 (GMT+7)",769.0,4.224532735474765,8.785430745730714,1.0,0.0,"công nghệ, 5G, Gói cước 5G, Giá 5G",7,935.3833333333333,0.07438910597038542
Đề xuất luật hóa quy định bảo vệ dữ liệu vị trí,"Thứ năm, 13/3/2025, 10:17 (GMT+7)",667.0,1.9873141109995494,4.632189845039805,1.0,0.0,"Bộ Công An, dữ liệu cá nhân, dữ liệu vị trí, Luật Bảo vệ dữ liệu cá nhân",7,865.7166666666667,0.017173686925972025
CEO Telegram rời Pháp,"Chủ nhật, 16/3/2025, 10:14 (GMT+7)",560.0,0.6983533452331834,0.0,1.0,0.0,"mạng xã hội, Pavel Durov, Telegram",7,793.7666666666667,0.0008393050344800864
Asus phát triển laptop AI siêu nhẹ,"Thứ tư, 5/3/2025, 16:00 (GMT+7)",1092.0,0.0,0.0,3.0,0.0,"AsusTek Computer Inc., laptop siêu nhẹ, laptop AI",7,1052.0,0.0
Có nên mua máy giặt mini?,"Thứ tư, 5/3/2025, 19:00 (GMT+7)",158.0,3.039926378673259,4.708118142480791,1.0,0.0,"kinh nghiệm, tư vấn, máy giặt mini",7,1049.0,0.020821996337613096
Loạt laptop AI hiệu năng cao,"Thứ sáu, 28/2/2025, 08:00 (GMT+7)",726.0,0.0,0.0,3.5,0.0,"Trí tuệ nhân tạo - AI, AMD Ryzen, laptop AI",7,1180.0,0.0
"DeepSeek 'chi phí rẻ, nhưng chưa hiệu quả'","Thứ bảy, 8/2/2025, 06:41 (GMT+7)",979.0,4.224532735474765,8.785430745730714,1.0,0.0,"Trí tuệ nhân tạo - AI, AI Trung Quốc, DeepSeek",7,1661.3166666666666,0.06463350045648623
Apple sắp mất thêm thị phần smartphone ở Trung Quốc,"Thứ hai, 13/1/2025, 05:00 (GMT+7)",324.0,4.103320081253567,7.699156957365628,1.0,0.0,"Trung Quốc, iPhone, điện thoại Trung Quốc, Apple Inc.",7,1923.4062499999995,0.03581150099594731
Nên chọn TV nào dễ dùng cho người già?,"Thứ tư, 22/1/2025, 07:00 (GMT+7)",105.0,2.982348452816055,5.382295452358249,0.0,0.0,"Samsung, Sony, LG Group (Corporation), TV người lớn tuổi",7,1923.4062499999995,0.01404153954618135
Wang Xingxing - CEO 9x đứng sau công ty robot hình người Unitree,"Thứ tư, 19/2/2025, 19:00 (GMT+7)",1369.875,4.224532735474765,8.785430745730714,3.5,0.0,"Robot hình người, Unitree, Wang Xingxing",7,1385.0,0.06863518005281065
Meta chi 65 tỷ USD xây trung tâm dữ liệu AI khổng lồ,"Chủ nhật, 26/1/2025, 06:56 (GMT+7)",502.0,1.407223424814969,5.506294996171143,1.0,0.0,"Trí tuệ nhân tạo - AI, Công ty Meta",7,1923.4062499999995,0.011418035350481703
Cuộc đua tạo cỗ máy quan trọng hàng đầu thế giới,"Thứ hai, 31/3/2025, 11:40 (GMT+7)",1369.875,4.224532735474765,7.802276813132189,1.0,0.0,"ASML, Bán dẫn, Quang khắc",7,432.3333333333333,0.07438910597038542
"Siri tiếng Việt trên iPhone hỗ trợ gọi xe, chuyển tiền","Thứ ba, 1/4/2025, 01:17 (GMT+7)",542.0,3.1963873565761647,6.649920065505519,0.0,0.07700734580820653,Siri,7,418.71666666666664,0.06433283219592105
Những thông tin ít biết về iPhone 16e,"Chủ nhật, 23/2/2025, 16:54 (GMT+7)",770.0,3.866312684162163,6.982493773638197,3.0,0.0,iPhone 16e,7,1291.1,0.042184721354354575
Những chiêu lừa online nở rộ dịp gần Tết,"Thứ tư, 22/1/2025, 09:00 (GMT+7)",1117.0,2.4609733977724844,6.151716315010273,2.0,0.0,"Lừa đảo, Cục An toàn thông tin, Lừa đảo trực tuyến",7,1923.4062499999995,0.01693935305747733
Thủ tướng đề xuất tập đoàn nước ngoài thúc đẩy chuyển giao công nghệ,"Thứ sáu, 14/3/2025, 16:39 (GMT+7)",1343.0,0.6983533452331834,0.0,3.0,0.0,"Trí tuệ nhân tạo - AI, Bán dẫn, Thủ tướng Phạm Minh Chính, Chip bán dẫn",7,835.35,0.0007977496615798431
Siêu mỏng - xu hướng thị trường smartphone 2025,"Thứ sáu, 14/2/2025, 05:00 (GMT+7)",1163.0,4.014493081651273,6.117102739919217,3.5,0.0,"iPhone Air, Oppo Find N5, Galaxy S25 Edge",7,1519.0,0.03195367200395454
Elon Musk đặt biệt danh cho CEO OpenAI là 'Scam Altman',"Thứ ba, 11/2/2025, 10:31 (GMT+7)",366.0,2.8571496719902085,4.46972299807752,1.0,0.0,"Elon Musk, Sam Altman",7,1585.4833333333333,0.012453252497009593
Facebook lại gặp sự cố,"Thứ năm, 27/2/2025, 09:34 (GMT+7)",359.0,3.1963873565761647,6.252050959622025,2.0,0.0,"Facebook, Facebook lỗi",7,1202.4333333333334,0.03149593309527186
Loạt tai nghe True Wireless nổi bật,"Chủ nhật, 2/2/2025, 05:00 (GMT+7)",895.0,2.9215515696602745,4.632189845039805,3.5,0.0,"Samsung, JBL, Huawei, Apple Inc., Soundcore, list tai nghe TWS, tại nghe TWS, tai nghe TWS nổi bật",7,1807.0,0.011977286961643465
5 thông số dự kiến của iPhone gập,"Thứ sáu, 7/2/2025, 19:00 (GMT+7)",318.0,3.9428761577841707,6.754194075782379,1.0,0.0,"iPhone, Apple Inc., iPhone gập, smartphone gập, iPhone Fold",7,1673.0,0.033906170887289006
Hàng nghìn iPhone bị đánh cắp trước hiên nhà thế nào,"Chủ nhật, 23/3/2025, 05:00 (GMT+7)",904.0,2.126768613731478,4.552840451997219,1.0,0.0,"Mỹ, iPhone, Trộm cắp tài sản",7,631.0,0.022522232687742616
